year,month_number,sport,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2018,5,E - Starcraft2,480056.0,4437.0,998511.0,-59814.0,-51.92,-107.42,Normal
2018,5,E - League of Legends,5522982.0,41155.0,4514418.0,-28990.0,22.34,-241.96,Normal
2018,5,E - Warcraft 3,8112.0,-755.0,26384.0,2199.0,-69.25,-134.33,Normal
2018,6,Tennis,87891343.61812007,2297232.0,96354193.74436158,1741794.0,-8.78,31.89,Normal
2018,6,E - Overwatch,588524.0,14662.0,760014.0,25936.0,-22.56,-43.47,Normal
2018,6,E - NBA2K,19188.0,5032.0,22563.0,2112.0,-14.96,138.26,Normal
2018,6,Soccer,123127512.58645797,6902383.0,84731236.34720185,-257603.0,45.32,-2779.47,Anomaly
2018,6,E - Rainbow Six,6265.0,-1137.0,,,,,Normal
2018,6,E - Hearthstone,229312.0,-11448.0,11190.0,1606.0,1949.26,-812.83,Anomaly
2018,6,E - Honor of Kings,13843.0,1016.0,46689.0,1474.0,-70.35,-31.07,Normal
2018,6,E - Dota2,27077830.0,424869.0,33484799.0,631779.0,-19.13,-32.75,Normal
2018,6,E - PUBG,14027.0,-1706.0,12963.0,-22.0,8.21,7654.55,Anomaly
2018,6,E - Call of Duty,33028.0,-1863.0,39447.0,-2228.0,-16.27,-16.38,Normal
2018,6,E - Starcraft2,813471.0,22141.0,480056.0,4437.0,69.45,399.01,Normal
2018,6,E - League of Legends,8300308.0,30776.0,5522982.0,41155.0,50.29,-25.22,Normal
2018,6,E - Dragon Ball FighterZ,2.0,2.0,,,,,Normal
2018,6,E - Warcraft 3,32533.0,-2916.0,8112.0,-755.0,301.05,286.23,Normal
2018,6,E - Starcraft: Brood War,3048.0,62.0,36311.0,3394.0,-91.61,-98.17,Normal
2018,6,E - Quake,6879.0,-2195.0,10030.0,-1805.0,-31.42,21.61,Normal
2018,6,E - Rocket League,9906.0,2868.0,12899.0,-691.0,-23.2,-515.05,Anomaly
2018,6,E - CS:GO,23445876.0,369940.0,23898792.0,579805.0,-1.9,-36.2,Normal
2018,6,E - Other Esports,278.0,-465.0,769238.0,92911.0,-99.96,-100.5,Normal
2018,6,E - Street Fighter,52779.0,1527.0,,,,,Normal
2018,6,E - Fortnite,3092.0,-285.0,,,,,Normal
2018,7,Tennis,95447272.5261972,1734428.0,87891343.61812007,2297232.0,8.6,-24.5,Normal
2018,7,E - Overwatch,849342.0,24835.0,588524.0,14662.0,44.32,69.38,Normal
2018,7,E - NBA2K,8143.0,1239.0,19188.0,5032.0,-57.56,-75.38,Normal
2018,7,Soccer,80950634.52881278,3204064.0,123127512.58645797,6902383.0,-34.25,-53.58,Normal
2018,7,E - Starcraft: Brood War,18962.0,5721.0,3048.0,62.0,522.11,9127.42,Anomaly
2018,7,E - Rocket League,2243.0,-14.0,9906.0,2868.0,-77.36,-100.49,Normal
2018,7,E - CS:GO,24768735.0,798274.0,23445876.0,369940.0,5.64,115.78,Normal
2018,7,E - Street Fighter,7593.0,-388.0,52779.0,1527.0,-85.61,-125.41,Normal
2018,7,E - Rainbow Six,15532.0,-805.0,6265.0,-1137.0,147.92,-29.2,Normal
2018,7,E - Hearthstone,591477.0,-12518.0,229312.0,-11448.0,157.94,9.35,Normal
2018,7,E - Honor of Kings,3226.0,31.0,13843.0,1016.0,-76.7,-96.95,Normal
2018,7,E - Dota2,7805197.0,34477.0,27077830.0,424869.0,-71.17,-91.89,Normal
2018,7,E - PUBG,60864.0,-24703.0,14027.0,-1706.0,333.91,1348.01,Anomaly
2018,7,E - Call of Duty,76429.0,-665.0,33028.0,-1863.0,131.41,-64.3,Normal
2018,7,E - Starcraft2,929056.0,35763.0,813471.0,22141.0,14.21,61.52,Normal
2018,7,E - League of Legends,14356171.0,323348.0,8300308.0,30776.0,72.96,950.65,Anomaly
2018,7,E - Warcraft 3,15312.0,-5887.0,32533.0,-2916.0,-52.93,101.89,Normal
2018,8,E - Warhammer 2,722.0,-477.0,,,,,Normal
2018,8,E - Starcraft2,1477999.0,7685.0,929056.0,35763.0,59.09,-78.51,Normal
2018,8,Tennis,96354006.86547522,2526893.0,95447272.5261972,1734428.0,0.95,45.69,Normal
2018,8,E - Overwatch,354153.0,-14088.0,849342.0,24835.0,-58.3,-156.73,Normal
2018,8,E - NBA2K,3294.0,1106.0,8143.0,1239.0,-59.55,-10.73,Normal
2018,8,Soccer,88150136.7750586,2302574.0,80950634.52881278,3204064.0,8.89,-28.14,Normal
2018,8,E - Starcraft: Brood War,108750.0,-2060.0,18962.0,5721.0,473.52,-136.01,Normal
2018,8,E - Quake,32.0,-19.0,6879.0,-2195.0,-99.53,-99.13,Normal
2018,8,E - Rainbow Six,14887.0,-723.0,15532.0,-805.0,-4.15,-10.19,Normal
2018,8,E - Hearthstone,352930.0,-8650.0,591477.0,-12518.0,-40.33,-30.9,Normal
2018,8,E - Honor of Kings,66401.0,-3258.0,3226.0,31.0,1958.31,-10609.68,Anomaly
2018,8,E - Dota2,30930243.0,601956.0,7805197.0,34477.0,296.28,1645.96,Anomaly
2018,8,E - PUBG,114059.0,-3577.0,60864.0,-24703.0,87.4,-85.52,Normal
2018,8,E - Fifa,504.0,164.0,,,,,Normal
2018,8,E - Call of Duty,80994.0,-10806.0,76429.0,-665.0,5.97,1524.96,Anomaly
2018,8,E - League of Legends,12641940.0,158343.0,14356171.0,323348.0,-11.94,-51.03,Normal
2018,8,E - Warcraft 3,21954.0,-2668.0,15312.0,-5887.0,43.38,-54.68,Normal
2018,8,E - CS:GO,16967349.0,428375.0,24768735.0,798274.0,-31.5,-46.34,Normal
2018,9,E - Starcraft2,822196.0,-30259.0,1477999.0,7685.0,-44.37,-493.74,Normal
2018,9,Tennis,73583552.6970352,2088297.0,96354006.86547522,2526893.0,-23.63,-17.36,Normal
2018,9,E - Overwatch,551672.0,2939.0,354153.0,-14088.0,55.77,-120.86,Normal
2018,9,Soccer,106535560.84695822,1078721.0,88150136.7750586,2302574.0,20.86,-53.15,Normal
2018,9,E - Rocket League,53547.0,-2259.0,2243.0,-14.0,2287.29,16035.71,Anomaly
2018,9,E - World of Warcraft,1699.0,662.0,,,,,Normal
2018,9,E - Rainbow Six,25713.0,-3536.0,14887.0,-723.0,72.72,389.07,Normal
2018,9,E - Hearthstone,464105.0,5514.0,352930.0,-8650.0,31.5,-163.75,Normal
2018,9,E - Honor of Kings,68339.0,1232.0,66401.0,-3258.0,2.92,-137.81,Normal
2018,9,E - Dota2,6881710.0,14838.0,30930243.0,601956.0,-77.75,-97.54,Normal
2018,9,E - PUBG,19060.0,-4393.0,114059.0,-3577.0,-83.29,22.81,Normal
2018,9,E - Starcraft: Brood War,19867.0,-392.0,108750.0,-2060.0,-81.73,-80.97,Normal
2018,9,E - League of Legends,7892697.0,-23044.0,12641940.0,158343.0,-37.57,-114.55,Normal
2018,9,E - Warcraft 3,12727.0,1641.0,21954.0,-2668.0,-42.03,-161.51,Normal
2018,9,E - CS:GO,25720185.0,928534.0,16967349.0,428375.0,51.59,116.76,Normal
2018,10,E - Starcraft2,463229.0,-6234.0,822196.0,-30259.0,-43.66,-79.4,Normal
2018,10,Tennis,84260037.22477068,1821290.0,73583552.6970352,2088297.0,14.51,-12.79,Normal
2018,10,E - Overwatch,66249.0,11162.0,551672.0,2939.0,-87.99,279.79,Normal
2018,10,Soccer,99107177.89335938,2533734.0,106535560.84695822,1078721.0,-6.97,134.88,Normal
2018,10,E - Quake,14153.0,-2673.0,32.0,-19.0,44128.13,13968.42,Anomaly
2018,10,E - Rocket League,18396.0,-2050.0,53547.0,-2259.0,-65.65,-9.25,Normal
