year,month_number,domain,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2019,3,bet,58481896.18495777,1158914.0,62529928.423932076,-7916.0,-6.47,-14740.15,Anomaly
2019,3,ca,3018266.118600577,78433.0,4244081.275454134,116056.0,-28.88,-32.42,Normal
2019,4,com,124000215.03389904,3319902.0,122295864.30704482,2609699.0,1.39,27.21,Normal
2019,4,bet,57605956.47955167,666988.0,58481896.18495777,1158914.0,-1.5,-42.45,Normal
2019,4,ca,3050367.53023082,121862.0,3018266.118600577,78433.0,1.06,55.37,Normal
2019,4,888,36228385.97955495,1004695.0,38416888.3540239,1588969.0,-5.7,-36.77,Normal
2019,5,888,38919172.14449835,1686752.0,36228385.97955495,1004695.0,7.43,67.89,Normal
2019,5,com,144854305.55368602,3262058.0,124000215.03389904,3319902.0,16.82,-1.74,Normal
2019,5,bet,61469243.51163367,948643.0,57605956.47955167,666988.0,6.71,42.23,Normal
2019,5,ca,2683075.2320866883,115889.0,3050367.53023082,121862.0,-12.04,-4.9,Normal
2019,6,888,35114731.438082114,942753.0,38919172.14449835,1686752.0,-9.78,-44.11,Normal
2019,6,com,120583256.06616889,4037117.0,144854305.55368602,3262058.0,-16.76,23.76,Normal
2019,6,bet,54544915.705741994,297189.0,61469243.51163367,948643.0,-11.26,-68.67,Normal
2019,6,ca,3080650.5605309755,84694.0,2683075.2320866883,115889.0,14.82,-26.92,Normal
2019,7,888,33139139.53985676,1020738.0,35114731.438082114,942753.0,-5.63,8.27,Normal
2019,7,com,113031394.7866466,2021665.0,120583256.06616889,4037117.0,-6.26,-49.92,Normal
2019,7,bet,56259777.81789151,1699069.0,54544915.705741994,297189.0,3.14,471.71,Normal
2019,7,ca,4688934.980476677,107520.0,3080650.5605309755,84694.0,52.21,26.95,Normal
2019,8,888,41184740.79910408,810728.0,33139139.53985676,1020738.0,24.28,-20.57,Normal
2019,8,com,117792284.64342934,3367813.0,113031394.7866466,2021665.0,4.21,66.59,Normal
2019,8,bet,65200366.836105734,1096269.0,56259777.81789151,1699069.0,15.89,-35.48,Normal
2019,8,ca,4848851.218607247,106304.0,4688934.980476677,107520.0,3.41,-1.13,Normal
2019,9,888,30857746.667994484,1258347.0,41184740.79910408,810728.0,-25.07,55.21,Normal
2019,9,com,123271749.84650894,2150906.0,117792284.64342934,3367813.0,4.65,-36.13,Normal
2019,9,bet,54316480.08343333,-70143.0,65200366.836105734,1096269.0,-16.69,-106.4,Normal
2019,9,ca,4584062.9217425585,-48117.0,4848851.218607247,106304.0,-5.46,-145.26,Normal
2019,10,bet,65202526.966040865,1281830.0,54316480.08343333,-70143.0,20.04,-1927.45,Anomaly
2019,10,888,38286456.263707906,1107066.0,30857746.667994484,1258347.0,24.07,-12.02,Normal
2019,10,com,130265205.60736582,3029437.0,123271749.84650894,2150906.0,5.67,40.84,Normal
2019,10,ca,6288279.824376255,68070.0,4584062.9217425585,-48117.0,37.18,-241.47,Normal
2019,11,bet,45203370.95943284,1009665.0,65202526.966040865,1281830.0,-30.67,-21.23,Normal
2019,11,888,32171742.16631892,903549.0,38286456.263707906,1107066.0,-15.97,-18.38,Normal
2019,11,com,104682291.39500195,-38245.0,130265205.60736582,3029437.0,-19.64,-101.26,Normal
2019,11,ca,5957921.426814683,205494.0,6288279.824376255,68070.0,-5.25,201.89,Normal
2019,12,bet,31921381.31132722,289354.0,45203370.95943284,1009665.0,-29.38,-71.34,Normal
2019,12,888,25158600.610901833,1093604.0,32171742.16631892,903549.0,-21.8,21.03,Normal
2019,12,com,88034512.70691915,956621.0,104682291.39500195,-38245.0,-15.9,-2601.3,Anomaly
2019,12,ca,1963167.2494361196,81669.0,5957921.426814683,205494.0,-67.05,-60.26,Normal
