year,month_number,region,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2018,6,Japan,5942621.217079163,507489.0,5696667.993861616,-78090.0,4.32,-749.88,Anomaly
2018,6,Rest Of Europe,71245630.7480787,2436406.0,63936790.60295151,-267971.0,11.43,-1009.21,Anomaly
2018,6,Italy,11441639.12018764,377888.0,12229627.983756304,106930.0,-6.44,253.4,Normal
2018,6,Nordic,22844484.825204313,795952.0,16316828.280502915,-143736.0,40.01,-653.76,Anomaly
2018,6,Rest Of the World,5763978.848319355,57717.0,4817931.109237915,101520.0,19.64,-43.15,Normal
2018,6,Rest of Asia,5478256.453933239,-36265.0,5817184.478924647,142478.0,-5.83,-125.45,Normal
2018,6,Russia & CIS,51949145.523299545,2011026.0,48289519.942385316,455225.0,7.58,341.77,Normal
2018,6,Canada,14196984.607698202,608080.0,12935638.40755868,447991.0,9.75,35.73,Normal
2018,7,Rest Of Europe,58445158.561949365,1370036.0,71245630.7480787,2436406.0,-17.97,-43.77,Normal
2018,7,South Korea,13416892.832458511,239311.0,9777190.866757303,276636.0,37.23,-13.49,Normal
2018,7,Latin America,12132663.458652548,125919.0,13437422.131688662,564837.0,-9.71,-77.71,Normal
2018,7,China,39979181.830239624,1251544.0,59591690.86233193,2450729.0,-32.91,-48.93,Normal
2018,7,Japan,5919801.021357663,224255.0,5942621.217079163,507489.0,-0.38,-55.81,Normal
2018,7,Italy,8732267.735823035,343802.0,11441639.12018764,377888.0,-23.68,-9.02,Normal
2018,7,Nordic,19894137.78554648,26246.0,22844484.825204313,795952.0,-12.91,-96.7,Normal
2018,7,Rest Of the World,5512531.707525976,68869.0,5763978.848319355,57717.0,-4.36,19.32,Normal
2018,7,Rest of Asia,7588983.245255515,257770.0,5478256.453933239,-36265.0,38.53,-810.8,Anomaly
2018,7,Russia & CIS,39677137.087201156,1496004.0,51949145.523299545,2011026.0,-23.62,-25.61,Normal
2018,7,Canada,14607433.789000124,713444.0,14196984.607698202,608080.0,2.89,17.33,Normal
2018,8,Rest Of Europe,57773599.515335724,1753110.0,58445158.561949365,1370036.0,-1.15,27.96,Normal
2018,8,South Korea,17754280.141348183,368125.0,13416892.832458511,239311.0,32.33,53.83,Normal
2018,8,Latin America,10934431.755398989,162631.0,12132663.458652548,125919.0,-9.88,29.16,Normal
2018,8,China,46965006.62050492,1558768.0,39979181.830239624,1251544.0,17.47,24.55,Normal
2018,8,Japan,4049412.5207752585,30886.0,5919801.021357663,224255.0,-31.6,-86.23,Normal
2018,8,Italy,7060231.061276585,99031.0,8732267.735823035,343802.0,-19.15,-71.2,Normal
2018,8,Nordic,20977034.82597828,49802.0,19894137.78554648,26246.0,5.44,89.75,Normal
2018,8,Rest Of the World,7889532.989751041,239815.0,5512531.707525976,68869.0,43.12,248.22,Normal
2018,8,Rest of Asia,5156471.602567315,99628.0,7588983.245255515,257770.0,-32.05,-61.35,Normal
2018,8,Russia & CIS,53667116.63758665,981882.0,39677137.087201156,1496004.0,35.26,-34.37,Normal
2018,8,Canada,15413236.970010877,637092.0,14607433.789000124,713444.0,5.52,-10.7,Normal
2018,9,Rest Of Europe,56728542.43575982,1214182.0,57773599.515335724,1753110.0,-1.81,-30.74,Normal
2018,9,South Korea,13471893.656361252,337088.0,17754280.141348183,368125.0,-24.12,-8.43,Normal
2018,9,Latin America,7689706.747653261,9886.0,10934431.755398989,162631.0,-29.67,-93.92,Normal
2018,9,China,39791987.624730825,1398800.0,46965006.62050492,1558768.0,-15.27,-10.26,Normal
2018,9,Japan,4359945.911273256,-29690.0,4049412.5207752585,30886.0,7.67,-196.13,Normal
2018,9,Italy,11235636.482631087,-258402.0,7060231.061276585,99031.0,59.14,-360.93,Normal
2018,9,Nordic,19811018.25984299,464534.0,20977034.82597828,49802.0,-5.56,832.76,Anomaly
2018,9,Rest Of the World,7680007.5221527815,-447011.0,7889532.989751041,239815.0,-2.66,-286.4,Normal
2018,9,Rest of Asia,6400081.644622803,90630.0,5156471.602567315,99628.0,24.12,-9.03,Normal
2018,9,Russia & CIS,43805157.501071155,915350.0,53667116.63758665,981882.0,-18.38,-6.78,Normal
2018,9,Canada,11678652.757894188,363128.0,15413236.970010877,637092.0,-24.23,-43.0,Normal
2018,10,Rest Of Europe,58541195.28417757,354150.0,56728542.43575982,1214182.0,3.2,-70.83,Normal
2018,10,South Korea,15754373.4542948,457300.0,13471893.656361252,337088.0,16.94,35.66,Normal
2018,10,Latin America,6521033.573070601,242459.0,7689706.747653261,9886.0,-15.2,2352.55,Anomaly
2018,10,China,45794304.53546399,1012808.0,39791987.624730825,1398800.0,15.08,-27.59,Normal
2018,10,Japan,7139806.803266272,-260475.0,4359945.911273256,-29690.0,63.76,777.32,Anomaly
2018,10,Italy,11734940.419668198,220369.0,11235636.482631087,-258402.0,4.44,-185.28,Normal
2018,10,Nordic,19218352.859694958,948463.0,19811018.25984299,464534.0,-2.99,104.18,Normal
2018,10,Rest Of the World,8347015.113207012,-17493.0,7680007.5221527815,-447011.0,8.68,-96.09,Normal
2018,10,Rest of Asia,7528467.934084386,112483.0,6400081.644622803,90630.0,17.63,24.11,Normal
2018,10,Russia & CIS,47994603.41419411,1393158.0,43805157.501071155,915350.0,9.56,52.2,Normal
2018,10,Canada,13636886.727008164,524607.0,11678652.757894188,363128.0,16.77,44.47,Normal
2018,11,Rest Of Europe,41905238.156969905,466273.0,58541195.28417757,354150.0,-28.42,31.66,Normal
2018,11,South Korea,7744118.140929878,89290.0,15754373.4542948,457300.0,-50.84,-80.47,Normal
2018,11,Latin America,3729881.788580805,213269.0,6521033.573070601,242459.0,-42.8,-12.04,Normal
2018,11,China,43604575.40545514,1345871.0,45794304.53546399,1012808.0,-4.78,32.89,Normal
2018,11,Japan,12387553.65106666,101.0,7139806.803266272,-260475.0,73.5,-100.04,Normal
2018,11,Italy,7891647.390950561,536397.0,11734940.419668198,220369.0,-32.75,143.41,Normal
2018,11,Nordic,13556635.5551368,682579.0,19218352.859694958,948463.0,-29.46,-28.03,Normal
2018,11,Rest Of the World,6092020.780122489,195282.0,8347015.113207012,-17493.0,-27.02,-1216.34,Anomaly
2018,11,Rest of Asia,6618979.362450913,64541.0,7528467.934084386,112483.0,-12.08,-42.62,Normal
2018,11,Russia & CIS,39731989.833163515,1021549.0,47994603.41419411,1393158.0,-17.22,-26.67,Normal
2018,11,Canada,8814201.227773845,391501.0,13636886.727008164,524607.0,-35.37,-25.37,Normal
2018,12,Rest Of Europe,29635159.30657494,781478.0,41905238.156969905,466273.0,-29.28,67.6,Normal
2018,12,South Korea,4747043.577491432,26259.0,7744118.140929878,89290.0,-38.7,-70.59,Normal
2018,12,Latin America,2265131.934343219,-66596.0,3729881.788580805,213269.0,-39.27,-131.23,Normal
2018,12,China,32445704.43540345,1193233.0,43604575.40545514,1345871.0,-25.59,-11.34,Normal
2018,12,Japan,9574976.05044651,251322.0,12387553.65106666,101.0,-22.7,248733.66,Anomaly
2018,12,Italy,4272085.764899015,153726.0,7891647.390950561,536397.0,-45.87,-71.34,Normal
2018,12,Nordic,12601541.016265512,393573.0,13556635.5551368,682579.0,-7.05,-42.34,Normal
2018,12,Rest Of the World,3670901.7014213502,-31016.0,6092020.780122489,195282.0,-39.74,-115.88,Normal
2018,12,Rest of Asia,5172805.2803424,89715.0,6618979.362450913,64541.0,-21.85,39.0,Normal
2018,12,Russia & CIS,27022877.906763196,769767.0,39731989.833163515,1021549.0,-31.99,-24.65,Normal
2018,12,Canada,5453983.152644448,-16525.0,8814201.227773845,391501.0,-38.12,-104.22,Normal
2019,1,Rest Of Europe,48221839.97864804,902637.0,29635159.30657494,781478.0,62.72,15.5,Normal
2019,1,South Korea,12928397.554327607,-28819.0,4747043.577491432,26259.0,172.35,-209.75,Normal
2019,1,Latin America,7688137.112069249,57691.0,2265131.934343219,-66596.0,239.41,-186.63,Normal
2019,1,China,42665666.25164194,1195521.0,32445704.43540345,1193233.0,31.5,0.19,Normal
2019,1,Japan,4671382.433867872,35536.0,9574976.05044651,251322.0,-51.21,-85.86,Normal
2019,1,Italy,6457479.6873396635,268949.0,4272085.764899015,153726.0,51.16,74.95,Normal
2019,1,Nordic,10341430.759655476,248329.0,12601541.016265512,393573.0,-17.94,-36.9,Normal
2019,1,Rest Of the World,3307621.5333109796,-18078.0,3670901.7014213502,-31016.0,-9.9,-41.71,Normal
2019,1,Rest of Asia,5867480.998776302,-82427.0,5172805.2803424,89715.0,13.43,-191.88,Normal
2019,1,Russia & CIS,48898684.3210276,886284.0,27022877.906763196,769767.0,80.95,15.14,Normal
2019,1,Canada,17103861.240978032,426313.0,5453983.152644448,-16525.0,213.6,-2679.81,Anomaly
2019,2,Japan,4379293.4836117625,146680.0,4671382.433867872,35536.0,-6.25,312.76,Normal
2019,2,Rest Of Europe,49772040.98029363,216536.0,48221839.97864804,902637.0,3.21,-76.01,Normal
2019,2,South Korea,17309481.64098382,493294.0,12928397.554327607,-28819.0,33.89,-1811.7,Anomaly
2019,2,Latin America,12210201.814235665,-755863.0,7688137.112069249,57691.0,58.82,-1410.19,Anomaly
2019,2,China,37355454.936372995,1576622.0,42665666.25164194,1195521.0,-12.45,31.88,Normal
2019,2,Italy,5877959.258593082,167808.0,6457479.6873396635,268949.0,-8.97,-37.61,Normal
2019,2,Nordic,13699967.672727108,-148758.0,10341430.759655476,248329.0,32.48,-159.9,Normal
2019,2,Rest Of the World,4041163.3260165453,129540.0,3307621.5333109796,-18078.0,22.18,-816.56,Anomaly
2019,2,Rest of Asia,4685468.123844966,-23217.0,5867480.998776302,-82427.0,-20.15,-71.83,Normal
2019,2,Russia & CIS,50931453.61246556,281189.0,48898684.3210276,886284.0,4.16,-68.27,Normal
2019,2,Canada,13896326.134340256,357673.0,17103861.240978032,426313.0,-18.75,-16.1,Normal
2019,3,Rest Of Europe,45492709.56599255,584660.0,49772040.98029363,216536.0,-8.6,170.01,Normal
2019,3,South Korea,23585997.551024675,640980.0,17309481.64098382,493294.0,36.26,29.94,Normal
2019,3,Latin America,11671353.83656989,304611.0,12210201.814235665,-755863.0,-4.41,-140.3,Normal
2019,3,China,38385868.68397689,1595082.0,37355454.936372995,1576622.0,2.76,1.17,Normal
2019,3,Japan,3805298.205085993,34604.0,4379293.4836117625,146680.0,-13.11,-76.41,Normal
2019,3,Italy,4864528.727640033,-47512.0,5877959.258593082,167808.0,-17.24,-128.31,Normal
2019,3,Nordic,13329571.269450903,671851.0,13699967.672727108,-148758.0,-2.7,-551.64,Anomaly
2019,3,Rest Of the World,5155973.323208392,86172.0,4041163.3260165453,129540.0,27.59,-33.48,Normal
2019,3,Rest of Asia,4927642.024968026,74628.0,4685468.123844966,-23217.0,5.17,-421.44,Normal
2019,3,Russia & CIS,56683518.089944966,944655.0,50931453.61246556,281189.0,11.29,235.95,Normal
2019,3,Canada,14310453.686764747,546284.0,13896326.134340256,357673.0,2.98,52.73,Normal
2019,4,Rest Of Europe,44453919.76235527,315717.0,45492709.56599255,584660.0,-2.28,-46.0,Normal
2019,4,South Korea,27424189.232252717,1713730.0,23585997.551024675,640980.0,16.27,167.36,Normal
2019,4,Latin America,11809033.513244666,253529.0,11671353.83656989,304611.0,1.18,-16.77,Normal
2019,4,China,36197499.65901351,1000470.0,38385868.68397689,1595082.0,-5.7,-37.28,Normal
2019,4,Japan,5164400.355276972,179835.0,3805298.205085993,34604.0,35.72,419.69,Normal
2019,4,Italy,5270296.905106187,38997.0,4864528.727640033,-47512.0,8.34,-182.08,Normal
2019,4,Nordic,13865010.399630368,-34244.0,13329571.269450903,671851.0,4.02,-105.1,Normal
2019,4,Rest Of the World,5129597.91288507,109512.0,5155973.323208392,86172.0,-0.51,27.09,Normal
2019,4,Rest of Asia,4228729.434958518,161561.0,4927642.024968026,74628.0,-14.18,116.49,Normal
2019,4,Russia & CIS,51385151.682941616,940644.0,56683518.089944966,944655.0,-9.35,-0.42,Normal
2019,4,Canada,15957096.1655716,433696.0,14310453.686764747,546284.0,11.51,-20.61,Normal
2019,5,Rest Of Europe,49682656.64416236,823557.0,44453919.76235527,315717.0,11.76,160.85,Normal
2019,5,South Korea,28835872.635049965,1251974.0,27424189.232252717,1713730.0,5.15,-26.94,Normal
2019,5,Latin America,13066400.055740297,358047.0,11809033.513244666,253529.0,10.65,41.23,Normal
2019,5,China,38791429.33520281,1677620.0,36197499.65901351,1000470.0,7.17,67.68,Normal
2019,5,Japan,6835641.844567537,149891.0,5164400.355276972,179835.0,32.36,-16.65,Normal
2019,5,Italy,5990069.557959557,111803.0,5270296.905106187,38997.0,13.66,186.7,Normal
